PESEL,Date of acceptance to the position,Salary,Education
44091442547,2020-01-01,807.396,High School Diploma
9041678052,2020-01-01,805.65,Professional Certification
72062993752,2020-01-01,805.794,Bachelor's Degree
62040763545,2020-01-01,806.134,Associate Degree
29051637850,2020-01-01,4019.37,Postgraduate Diploma
85020100945,2020-01-01,4021.74,Master's Degree
44110308014,2020-01-01,4034.86,Bachelor's Degree
67072820512,2020-01-01,4023.2,Bachelor's Degree
27012342551,2020-01-01,4020.79,Vocational Training
40021014622,2020-01-01,4021.12,Postgraduate Diploma
97020794149,2020-01-01,4033.77,Bachelor's Degree
35112441456,2020-01-01,4026.64,Postgraduate Diploma
96062162516,2020-01-01,4028.61,Professional Certification
71070304804,2020-01-01,803.864,Postgraduate Diploma
54052015158,2020-01-01,4035.01,Master's Degree
91092634833,2020-01-01,4018.67,Master's Degree
29061933155,2020-01-01,4016.25,Certificate Program
88122544422,2020-01-01,4023.11,Certificate Program
59080628750,2020-01-01,4029.13,Vocational Training
55092748631,2020-01-01,4029.76,Professional Certification
10070562018,2020-01-01,4028.95,Doctorate (PhD)
94060109612,2020-01-01,4019.82,Doctorate (PhD)
51021697252,2020-01-01,4030.17,Bachelor's Degree
81050637859,2020-01-01,4016.07,Professional Certification
43090544953,2020-01-01,4019.8,Postgraduate Diploma
81050609357,2020-01-01,804.5,High School Diploma
98091510355,2020-01-01,805.03,Postgraduate Diploma
44062250151,2020-01-01,803.6,Bachelor's Degree
52090584339,2020-01-01,803.752,Postgraduate Diploma
1080477650,2020-01-01,805.972,High School Diploma
39091505855,2020-01-01,804.2,Bachelor's Degree
73060296250,2020-01-01,4023.88,Bachelor's Degree
38061266747,2020-01-01,4017.22,Certificate Program
93110553337,2020-01-01,4016.84,Postgraduate Diploma
48092273649,2020-01-01,4023.26,High School Diploma
51010188255,2020-01-01,805.976,Bachelor's Degree
95010144253,2020-01-01,804.784,Postgraduate Diploma
41102424354,2020-01-01,804.152,Professional Certification
52040261457,2020-01-01,4032.29,Master's Degree
90022438648,2020-01-01,4024.79,Associate Degree
59021581351,2020-01-01,4026.68,Diploma
66042534310,2020-01-01,4017.8,Professional Certification
3072668325,2020-01-01,4023.42,Associate Degree
29061838337,2020-01-01,4032.67,High School Diploma
44103179711,2020-01-01,4031.09,Doctorate (PhD)
90022180552,2020-01-01,805.14,High School Diploma
1070372350,2020-01-01,807.2,Bachelor's Degree
78121811522,2020-01-01,806.372,Professional Certification
34111809409,2020-01-01,803.488,Certificate Program
82012425257,2020-01-01,805.614,Professional Certification
36092149059,2020-01-01,4024.9,Professional Certification
36121794553,2020-01-01,4028.43,Master's Degree
53080436632,2020-01-01,4031.55,Diploma
53041010552,2020-01-01,4027.24,Certificate Program
90092900452,2020-01-01,4025.31,Certificate Program
71061211713,2020-01-01,4022.88,Vocational Training
10081464754,2020-01-01,4026.36,Bachelor's Degree
72042065149,2020-01-01,4037.8,Master's Degree
47073034330,2020-01-01,4029.25,Vocational Training
6102065853,2020-01-01,4023.73,Vocational Training
10062634251,2020-01-01,4030.03,Postgraduate Diploma
31012900853,2020-01-01,806.978,High School Diploma
99032035450,2020-01-01,806.138,Associate Degree
79012194751,2020-01-01,805.164,Vocational Training
26100572452,2020-01-01,4028.58,Vocational Training
51062793555,2020-01-01,4042.79,Associate Degree
31101483438,2020-01-01,4025.04,High School Diploma
79081800023,2020-01-01,4031.74,Postgraduate Diploma
50040671850,2020-01-01,4030.43,Certificate Program
50060185922,2020-01-01,4030.98,Vocational Training
9052796503,2020-01-01,805.918,Diploma
56022923634,2020-01-01,807.12,Postgraduate Diploma
37081857254,2020-01-01,808.11,Master's Degree
81021258458,2020-01-01,806.08,Diploma
84060650508,2020-01-01,4025.81,Doctorate (PhD)
74022686317,2020-01-01,4040.28,Vocational Training
25030471556,2020-01-01,4021.18,Postgraduate Diploma
42091500621,2020-01-01,4023.05,Vocational Training
48020962021,2020-01-01,4026.45,High School Diploma
64030667552,2020-01-01,4037.16,High School Diploma
61100592855,2020-01-01,4035.89,Diploma
59111629350,2020-01-01,4038.86,Diploma
79111485051,2020-01-01,4037.35,Professional Certification
7022196146,2020-01-01,4026.54,Associate Degree
85040330544,2020-01-01,4040.17,Diploma
87040312957,2020-01-01,4040.87,Associate Degree
90092093558,2020-01-01,4030.76,Doctorate (PhD)
25082236916,2020-01-01,4022.52,Vocational Training
60110466659,2020-01-01,4034.85,Master's Degree
37031724038,2020-01-01,806.558,Certificate Program
60111600429,2020-01-01,807.448,Certificate Program
50051927807,2020-01-01,804.962,Postgraduate Diploma
31011781725,2020-01-01,805.554,High School Diploma
9100911652,2020-01-01,4040.09,Vocational Training
82041603059,2020-01-01,4027.04,Bachelor's Degree
1120729907,2020-01-01,4041.13,Vocational Training
45011011159,2020-01-01,4046.15,Associate Degree
57071787017,2020-01-01,4029.5,Postgraduate Diploma
78110623738,2020-01-01,4029.39,Associate Degree
8040407913,2020-01-01,4019.86,Diploma
79120458217,2020-01-01,4036.29,Postgraduate Diploma
80110194059,2020-01-01,805.838,Bachelor's Degree
27071122848,2020-01-01,807.808,Doctorate (PhD)
26070382202,2020-01-01,806.404,Diploma
68012160714,2020-01-01,807.746,Professional Certification
86042161354,2020-01-01,805.268,Master's Degree
26090941357,2020-01-01,4043.21,Doctorate (PhD)
96101456059,2020-01-01,4049.13,Associate Degree
91040383529,2020-01-01,4041.86,Certificate Program
22388959,2020-01-01,4025.76,Associate Degree
6072281518,2020-01-01,4036.14,Doctorate (PhD)
10032049650,2020-01-01,4021.17,Diploma
74041593252,2020-01-01,4030.71,Associate Degree
54011357150,2020-01-01,4026.07,Doctorate (PhD)
29012323758,2020-01-01,4041.19,High School Diploma
69033071702,2020-01-01,4027.43,Vocational Training
69032346304,2020-01-01,808.318,High School Diploma
64081840939,2020-01-01,805.724,Professional Certification
29060513053,2020-01-01,4019.61,Diploma
87101724552,2020-01-01,4035.34,Vocational Training
95102584017,2020-01-01,4040.3,Vocational Training
7090107859,2020-01-01,4040.24,Professional Certification
49021941631,2020-01-01,4029.77,Certificate Program
81112762604,2020-01-01,4020.74,Vocational Training
33091435152,2020-01-01,4025.36,Bachelor's Degree
4030748857,2020-01-01,4029.7,Associate Degree
90092492616,2020-01-01,4044.29,Master's Degree
81030272450,2020-01-01,4030.37,Bachelor's Degree
79053182759,2020-01-01,804.234,Certificate Program
90120248413,2020-01-01,804.262,Professional Certification
84071777218,2020-01-01,809.202,Associate Degree
79122265358,2020-01-01,807.408,High School Diploma
99020552114,2020-01-01,4046.06,Doctorate (PhD)
28061677856,2020-01-01,4028.95,Certificate Program
38100771052,2020-01-01,4040.7,Professional Certification
66072670714,2020-01-01,4053.25,Doctorate (PhD)
47082962318,2020-01-01,4035.85,Vocational Training
88070522848,2020-01-01,4038.87,Vocational Training
44120474958,2020-01-01,4030.57,Vocational Training
29050446453,2020-01-01,4044.47,Diploma
75072019159,2020-01-01,806.118,Bachelor's Degree
72102021753,2020-01-01,806.35,Doctorate (PhD)
93080793450,2020-01-01,810.932,Doctorate (PhD)
57031188951,2020-01-01,4033.89,Doctorate (PhD)
32062811302,2020-01-01,4046.01,Certificate Program
29022536858,2020-01-01,4041.58,High School Diploma
79050726828,2020-01-01,4024.93,Professional Certification
77010456101,2020-01-01,4045.6,Master's Degree
9050773124,2020-01-01,4047.35,Diploma
9060171244,2020-01-01,4051.68,Master's Degree
80080686453,2020-01-01,4037.49,Master's Degree
88081336940,2020-01-01,4053.16,Associate Degree
26010539448,2020-01-01,807.128,Professional Certification
81082902253,2020-01-01,807.386,Diploma
5060860159,2020-01-01,808.646,Professional Certification
84032051021,2020-01-01,4037.63,High School Diploma
33030666656,2020-01-01,4032.34,Bachelor's Degree
44020471754,2020-01-01,4040.44,Master's Degree
51010404951,2020-01-01,4036.73,Certificate Program
9081834528,2020-01-01,4042.67,Associate Degree
38113056746,2020-01-01,4033.01,Certificate Program
30111692605,2020-01-01,4036.36,Master's Degree
87100388854,2020-01-01,4036.07,Diploma
72051690758,2020-01-01,4032.78,Master's Degree
49122803322,2020-01-01,4026.38,Diploma
41121503159,2020-01-01,4046.12,Postgraduate Diploma
92050201142,2020-01-01,4052.55,Doctorate (PhD)
81012245757,2020-01-01,809.594,Diploma
37052225424,2020-01-01,811.632,Associate Degree
40072264151,2020-01-01,808.926,Professional Certification
51062787839,2020-01-01,805.022,Professional Certification
33082471851,2020-01-01,4047.34,Diploma
52112975352,2020-01-01,4043.04,Postgraduate Diploma
99022221456,2020-01-01,4029.49,Doctorate (PhD)
59041091917,2020-01-01,4055.11,Master's Degree
99102988000,2020-01-01,4036.09,Bachelor's Degree
90090263425,2020-01-01,4056.72,Bachelor's Degree
89031662634,2020-01-01,4039.24,Bachelor's Degree
29090350457,2020-01-01,807.03,High School Diploma
3082857449,2020-01-01,809.166,Certificate Program
31082625539,2020-01-01,806.42,Associate Degree
96082459414,2020-01-01,809.17,Diploma
55051392653,2020-01-01,804.636,Certificate Program
66082964809,2020-01-01,4063.69,Master's Degree
85050258856,2020-01-01,4038.18,Diploma
36100529958,2020-01-01,1060.62,High School Diploma
83082223040,2020-01-01,4042.31,Master's Degree
99020558608,2020-01-01,805.96,Vocational Training
26091093015,2020-01-01,811.776,Master's Degree
84082747042,2020-01-01,809.56,High School Diploma
70030968258,2020-01-01,812.858,Bachelor's Degree
61071166459,2020-01-01,812.54,Doctorate (PhD)
89092477114,2020-01-01,4053.87,Diploma
68040484734,2020-01-01,4064.09,Bachelor's Degree
56092184627,2020-01-01,4057.26,Master's Degree
48060130158,2020-01-01,4040.21,Vocational Training
80071235259,2020-01-01,4033.88,Postgraduate Diploma
89042255124,2020-01-01,4025.49,Professional Certification
89123114346,2020-01-01,810.08,Postgraduate Diploma
70021043245,2020-01-01,809.506,Vocational Training
86011599050,2020-01-01,806.388,Professional Certification
2122465206,2020-01-01,4052.93,Doctorate (PhD)
37092490725,2020-01-01,4046.15,Postgraduate Diploma
52050405601,2020-01-01,4062.74,Doctorate (PhD)
99012080250,2020-01-01,4048.17,Vocational Training
9033030705,2020-01-01,4031.97,Bachelor's Degree
6102615904,2020-01-01,811.78,Associate Degree
10102438043,2020-01-01,811.316,High School Diploma
63101667851,2020-01-01,807.544,Master's Degree
35041733211,2020-01-01,4057.78,Certificate Program
77021600951,2020-01-01,4063.07,Master's Degree
98112140619,2020-01-01,4065.32,Bachelor's Degree
71112590516,2020-01-01,4069.34,Doctorate (PhD)
32041198655,2020-01-01,4041.22,Vocational Training
36052265153,2020-01-01,4035.67,Master's Degree
83051143412,2020-01-01,807.5,Diploma
37042664224,2020-01-01,814.808,Master's Degree
10021620947,2020-01-01,814.864,Associate Degree
94112326646,2020-01-01,808.926,Bachelor's Degree
44100904851,2020-01-01,4033.46,Diploma
64071384045,2020-01-01,4067.31,Bachelor's Degree
54020700752,2020-01-01,4063.11,High School Diploma
43110708954,2020-01-01,4054.33,Master's Degree
49012363659,2020-01-01,4068.8,Associate Degree
49010400824,2020-01-01,4037.64,Diploma
63100248453,2020-01-01,4057.21,Bachelor's Degree
77031319700,2020-01-01,4065.09,Associate Degree
45020650444,2020-01-01,811.152,Master's Degree
67031971949,2020-01-01,812.65,Doctorate (PhD)
6030182855,2020-01-01,809.77,Master's Degree
80120848959,2020-01-01,4052.87,Master's Degree
34020582350,2020-01-01,4057.1,Diploma
70080439755,2020-01-01,4058.69,Diploma
90011025750,2020-01-01,4054.22,Doctorate (PhD)
37022570354,2020-01-01,4061.02,Doctorate (PhD)
55071697439,2020-01-01,4053.79,Bachelor's Degree
62553946,2020-01-01,4033.85,Postgraduate Diploma
76022934018,2020-01-01,4030.98,Professional Certification
89051133053,2020-01-01,809.93,Bachelor's Degree
73062128740,2020-01-01,808.428,Associate Degree
9082404759,2020-01-01,812.206,Doctorate (PhD)
69011553758,2020-01-01,808.174,Diploma
95012997941,2020-01-01,4054.05,Associate Degree
2100705452,2020-01-01,4029.75,Diploma
59012957859,2020-01-01,4051.47,Bachelor's Degree
30031297656,2020-01-01,806.792,Professional Certification
80082791357,2020-01-01,806.48,Certificate Program
43120266703,2020-01-01,806.634,Diploma
92072954255,2020-01-01,812.074,Bachelor's Degree
64011191953,2020-01-01,809.92,Master's Degree
75081955220,2020-01-01,4073.78,Doctorate (PhD)
41090974147,2020-01-01,4034.39,Professional Certification
1022294620,2020-01-01,4081.33,Associate Degree
51113064555,2020-01-01,4058.88,Bachelor's Degree
99050827152,2020-01-01,4071,Doctorate (PhD)
60121158657,2020-01-01,4053.62,Bachelor's Degree
54042611254,2020-01-01,4034.56,Vocational Training
73022642338,2020-01-01,4074.95,Master's Degree
63011542752,2020-01-01,4041.09,Associate Degree
58083002107,2020-01-01,4040.1,Doctorate (PhD)
39102192052,2020-01-01,812.8,High School Diploma
3021259802,2020-01-01,4039.56,Professional Certification
52021019620,2020-01-01,4055.55,Professional Certification
90082595714,2020-01-01,4040.21,Diploma
82120406258,2020-01-01,4035.38,Certificate Program
92080762606,2020-01-01,4062.6,Vocational Training
41042762653,2020-01-01,807.034,Professional Certification
91051105639,2020-01-01,4054.99,Postgraduate Diploma
1091492750,2020-01-01,4058.54,Postgraduate Diploma
29111499152,2020-01-01,4071.75,Bachelor's Degree
44050398043,2020-01-01,4033.34,Professional Certification
4122026225,2020-01-01,4046.21,Vocational Training
30031374753,2020-01-01,4061.15,Doctorate (PhD)
74102608958,2020-01-01,4057.39,Vocational Training
45040963931,2020-01-01,806.52,Diploma
89081647805,2020-01-01,809.574,Master's Degree
62080271101,2020-01-01,812.366,Diploma
89032589042,2020-01-01,807.034,Vocational Training
81011545957,2020-01-01,4065.11,Professional Certification
33080834807,2020-01-01,4060.57,Postgraduate Diploma
31010799659,2020-01-01,4052.97,Doctorate (PhD)
78061567554,2020-01-01,4048.43,High School Diploma
78061192055,2020-01-01,4060.52,High School Diploma
6121944326,2020-01-01,4037.02,Vocational Training
84012010613,2020-01-01,814.86,High School Diploma
76092772226,2020-01-01,810.036,Postgraduate Diploma
49112262258,2020-01-01,811.44,Doctorate (PhD)
9011336658,2020-01-01,808.818,Master's Degree
51091002156,2020-01-01,815.21,High School Diploma
6072523339,2020-01-01,808.586,Postgraduate Diploma
76082651351,2020-01-01,810.31,Bachelor's Degree
84120917503,2020-01-01,4042.68,Vocational Training
82052713158,2020-01-01,4074.35,Master's Degree
96050599856,2020-01-01,4081.45,High School Diploma
80040918536,2020-01-01,4050.02,Doctorate (PhD)
89091210604,2020-01-01,4084.32,Bachelor's Degree
25011655746,2020-01-01,4048.82,Professional Certification
72110206957,2020-01-01,4040.17,Vocational Training
98061567453,2020-01-01,808.72,High School Diploma
43031215506,2020-01-01,808.406,Associate Degree
45030674650,2020-01-01,816.096,Associate Degree
33022476348,2020-01-01,814.974,Master's Degree
42112335700,2020-01-01,812.464,Associate Degree
55110235255,2020-01-01,812.56,High School Diploma
25032590525,2020-01-01,4071.82,Associate Degree
95090667217,2020-01-01,4047.64,Doctorate (PhD)
39060410038,2020-01-01,4038.57,Postgraduate Diploma
31092589610,2020-01-01,4046.52,Associate Degree
87100719548,2020-01-01,4076.95,High School Diploma
76032697514,2020-01-01,4042.79,Professional Certification
81020902037,2020-01-01,810.568,High School Diploma
49022833656,2020-01-01,814.202,Diploma
84030668056,2020-01-01,806.932,Vocational Training
61102299354,2020-01-01,815.714,Master's Degree
57040882901,2020-01-01,808.118,Professional Certification
94121009323,2020-01-01,807.856,Vocational Training
49022377350,2020-01-01,4034.7,Vocational Training
74042659931,2020-01-01,4057.36,Master's Degree
75101788858,2020-01-01,4050.27,High School Diploma
48053008118,2020-01-01,4034.54,Certificate Program
68042484930,2020-01-01,4057.78,Bachelor's Degree
43111431923,2020-01-01,4035.32,Certificate Program
44100280951,2020-01-01,4050.19,Associate Degree
5031801233,2020-01-01,814.638,Doctorate (PhD)
42030361645,2020-01-01,813.206,Master's Degree
38080973558,2020-01-01,816.912,Associate Degree
40070978548,2020-01-01,812.724,Doctorate (PhD)
45071768439,2020-01-01,1050.31,Bachelor's Degree
77103076412,2020-01-01,4074.74,Certificate Program
58020460450,2020-01-01,4038.39,Professional Certification
67081675718,2020-01-01,4075.87,Vocational Training
44101899855,2020-01-01,4074.17,Doctorate (PhD)
95121840442,2020-01-01,4067.45,Certificate Program
49112510955,2020-01-01,813.502,Diploma
47042035650,2020-01-01,814.504,Vocational Training
75081536357,2020-01-01,4063.86,Doctorate (PhD)
47120525358,2020-01-01,4053.34,High School Diploma
30110300606,2020-01-01,4064.97,Postgraduate Diploma
21755222,2020-01-01,4077.26,High School Diploma
27021302155,2020-01-01,4050.26,Diploma
32071444551,2020-01-01,4076.75,High School Diploma
42120396030,2020-01-01,808.304,Vocational Training
92092815150,2020-01-01,815.292,Postgraduate Diploma
57070361612,2020-01-01,4046.19,Certificate Program
36042413555,2020-01-01,4052.92,Bachelor's Degree
40082337658,2020-01-01,4053.56,High School Diploma
55090589243,2020-01-01,4058.76,High School Diploma
59040545707,2020-01-01,4047.49,Certificate Program
4080437932,2020-01-01,4083.57,Doctorate (PhD)
66032460614,2020-01-01,4041.54,Vocational Training
97111091032,2020-01-01,4043.79,Vocational Training
40052793800,2020-01-01,812.834,High School Diploma
35052602702,2020-01-01,809.354,Doctorate (PhD)
97041608157,2020-01-01,813.264,Postgraduate Diploma
32032447054,2020-01-01,1065.84,Certificate Program
27061563350,2020-01-01,4043.54,Professional Certification
65101308925,2020-01-01,4048.01,Postgraduate Diploma
6092156922,2020-01-01,4082.92,Master's Degree
90122065908,2020-01-01,4042.22,Vocational Training
28103011503,2020-01-01,4060.12,Diploma
31083051654,2020-01-01,4076.76,Doctorate (PhD)
58080730908,2020-01-01,4062.86,High School Diploma
39070835540,2020-01-01,4078.96,Associate Degree
54041071558,2020-01-01,812.866,Postgraduate Diploma
65081044859,2020-01-01,810.046,Vocational Training
94030968018,2020-01-01,811.656,Professional Certification
26121920447,2020-01-01,811.496,Vocational Training
3012474515,2020-01-01,4086.84,Associate Degree
