PESEL,Date of acceptance to the position,Salary,Education
88030540954,2011-01-27,9623.37,High School Diploma
55011105927,2014-07-09,8583.72,Vocational Training
84022124052,2018-01-01,7158.99,High School Diploma
49113031451,2017-11-30,7427.52,Master's Degree
52091339839,2015-02-21,7805.27,Master's Degree
72103085952,2019-09-29,6124.7,Master's Degree
36042320619,2013-02-01,10412.84,High School Diploma
49071142037,2017-05-08,7548.68,Master's Degree
95111646153,2015-06-19,7921.7,Doctorate (PhD)
86101276458,2012-09-07,9897.75,High School Diploma
78122363653,2014-12-06,8149.83,Doctorate (PhD)
27021996448,2010-11-12,10772.7,Associate Degree
34041552352,2017-01-24,7694.25,Vocational Training
6041419258,2019-09-20,6059.16,Postgraduate Diploma
70062593248,2018-02-25,6686.33,Vocational Training
60100451759,2019-05-14,6514.4,Doctorate (PhD)
72122321459,2018-06-11,6890.51,Associate Degree
91122770056,2016-08-28,7964.76,Postgraduate Diploma
37092978234,2017-01-15,6995.99,Doctorate (PhD)
10051458950,2018-09-28,6643.17,Postgraduate Diploma
61101885251,2016-08-21,7713.21,Associate Degree
59112846417,2014-08-08,8358.59,Professional Certification
85052288044,2019-03-24,6360.35,Master's Degree
94052409702,2011-01-01,9484.59,Doctorate (PhD)
70092183936,2012-06-04,9996.98,Bachelor's Degree
99051535717,2018-10-03,6498.57,Vocational Training
75021309757,2016-05-16,8740.99,High School Diploma
84021898552,2015-01-14,8598.76,Vocational Training
42071120405,2013-06-30,10828.36,Master's Degree
92120818618,2012-03-21,11058.93,High School Diploma
50060794001,2018-07-30,6566.91,Diploma
79052648841,2014-10-09,8487.64,Professional Certification
97101844813,2017-09-28,7265.45,Master's Degree
88022417747,2015-05-11,8613.62,High School Diploma
2061056307,2016-06-24,7318.14,Certificate Program
10070100119,2011-01-23,9009.01,Postgraduate Diploma
85051382619,2011-09-23,9120.37,High School Diploma
55012229725,2018-02-18,7007.86,Postgraduate Diploma
35032216808,2016-10-10,7288.65,Vocational Training
39010427958,2011-04-21,10554.62,Professional Certification
68102327432,2017-04-26,7393.96,Bachelor's Degree
71102439229,2014-04-15,8579.58,High School Diploma
52092507121,2016-04-12,8152.82,Doctorate (PhD)
66051665814,2014-02-23,7972.83,Certificate Program
48011812256,2011-02-16,10092.58,Postgraduate Diploma
53062481751,2012-05-18,9268.41,Postgraduate Diploma
44090548152,2013-01-15,8530.11,Professional Certification
28100576306,2012-08-01,8743.93,Postgraduate Diploma
9012008611,2018-01-08,7352.29,Master's Degree
53042586355,2015-08-13,9254.37,Master's Degree
2111124608,2017-03-24,6989.06,Doctorate (PhD)
51041311116,2018-06-08,7036.29,Doctorate (PhD)
43020939451,2011-03-21,9547.83,Vocational Training
64070714821,2011-03-15,10613.99,Vocational Training
81112918906,2018-09-10,6595.18,Postgraduate Diploma
43051889758,2014-04-02,8579.5,Postgraduate Diploma
60546528,2014-09-23,9054.46,High School Diploma
4082049500,2010-08-28,12662.6,High School Diploma
34120301156,2019-07-27,6140.53,Diploma
32102634243,2017-09-13,7641.34,Master's Degree
29012378406,2014-12-30,8061.9,Vocational Training
32082785159,2012-07-28,9202.5,Bachelor's Degree
80081889121,2019-05-06,6468.8,Master's Degree
52111738237,2017-01-04,7479.81,Doctorate (PhD)
82012424645,2013-07-14,9932.34,Doctorate (PhD)
92011825057,2013-03-11,11054.57,Associate Degree
40082067540,2010-12-26,10257.82,Master's Degree
50072948201,2018-05-09,6638.27,Vocational Training
45111672450,2015-01-22,8124.97,Professional Certification
29080874512,2011-09-23,11374.36,Bachelor's Degree
1042338212,2014-09-24,7427.51,Diploma
36040414602,2017-03-19,7484.99,Certificate Program
77090705203,2015-09-30,7617.36,Vocational Training
58040116308,2018-12-19,6864.13,High School Diploma
63100600222,2013-08-26,8023.86,Vocational Training
74070590123,2012-04-30,8810.26,Vocational Training
49111180140,2018-10-13,6339.76,Vocational Training
41050579751,2015-11-24,7578.44,Doctorate (PhD)
63122729552,2013-03-23,10250.85,Associate Degree
11684246,2011-08-12,11106.43,Associate Degree
61010727042,2016-03-17,7926.6,Vocational Training
110944058,2014-08-09,7620.33,Vocational Training
89020629349,2017-10-30,6998.5,Bachelor's Degree
110379005,2016-03-19,7469.11,Diploma
73121713621,2015-02-11,8355.16,Master's Degree
66051200356,2011-09-23,10118.23,High School Diploma
25060409228,2012-11-10,9013.11,Doctorate (PhD)
49030745329,2014-09-19,7507.53,Vocational Training
79072628311,2013-09-15,9734.43,Master's Degree
73031366551,2014-01-22,8711.66,Doctorate (PhD)
30052558114,2015-12-22,8637.16,Associate Degree
2080220019,2016-03-29,7631.24,Professional Certification
64021056059,2018-07-11,6947.89,Master's Degree
47021838221,2017-11-30,6605.49,High School Diploma
98060318005,2014-05-21,8017.01,Diploma
75080292351,2012-09-01,9995.47,Postgraduate Diploma
41122548759,2015-09-01,8273.42,Diploma
70071839553,2016-04-27,8065.62,Postgraduate Diploma
99121799041,2010-02-14,8994.48,Certificate Program
31052118111,2010-12-21,9820.4,Diploma
89060862908,2015-06-04,7877.59,Certificate Program
89032769422,2019-01-12,6572.09,Associate Degree
62121403157,2016-01-24,7925.4,Doctorate (PhD)
6011372938,2014-08-29,8098.82,High School Diploma
53061197354,2015-01-31,7869.99,Postgraduate Diploma
67041602055,2017-11-30,6961.6,Certificate Program
98071424209,2012-05-17,8665.39,High School Diploma
10020294839,2011-04-21,9290.83,Certificate Program
44092335754,2012-02-18,10371.9,Vocational Training
61051384806,2017-08-01,6731.26,Postgraduate Diploma
52091073551,2014-01-17,8622.92,High School Diploma
38062099058,2010-05-08,12499.46,Doctorate (PhD)
75013141051,2017-02-09,7873.26,Master's Degree
61121163201,2019-12-15,6136.11,Associate Degree
64052395855,2013-03-29,7693.43,Professional Certification
32131657,2015-11-25,8369.34,Associate Degree
90111335948,2014-11-26,8699.14,Professional Certification
8030186259,2019-09-06,6120.96,Vocational Training
61051707254,2019-03-10,6398.31,Postgraduate Diploma
2052453119,2016-05-15,8188.07,High School Diploma
58112336511,2013-05-12,8707.84,Diploma
65090729255,2015-12-08,8064.62,Master's Degree
61013140923,2011-05-21,10386.99,Bachelor's Degree
35031668040,2017-05-14,7611.96,Doctorate (PhD)
56122245056,2014-01-11,8853.3,Postgraduate Diploma
52072173005,2011-11-18,10394.83,Bachelor's Degree
75051831657,2011-12-20,8767.83,Diploma
71022577959,2010-08-30,9914.92,Postgraduate Diploma
39122817955,2019-09-09,6069.06,Associate Degree
58042765951,2012-09-23,8696.91,Vocational Training
95092189447,2015-06-27,9073.37,Doctorate (PhD)
91061708925,2018-12-01,6589.74,Certificate Program
65100288503,2011-03-06,8722.86,Professional Certification
75010251450,2012-12-21,11224.17,Doctorate (PhD)
26100572452,2019-12-09,6035.79,Vocational Training
76112137550,2014-11-07,8424.71,Associate Degree
95060680657,2019-01-11,6483.84,Certificate Program
6021997314,2019-08-23,6154.74,Certificate Program
7062265819,2017-09-19,7010.63,Vocational Training
37070516748,2011-12-02,8922.28,Postgraduate Diploma
82111962231,2010-07-04,9531.82,High School Diploma
71122645347,2012-02-09,8780.14,Professional Certification
27081345248,2013-03-07,8247.92,Professional Certification
29091101151,2011-03-09,9818.55,Diploma
63112764152,2013-05-30,8313.54,Master's Degree
91151643,2016-09-11,7430.85,Certificate Program
73050263141,2013-09-15,8862.24,Professional Certification
88042257259,2016-08-07,7611.53,Diploma
34020935356,2012-05-26,8362.27,Vocational Training
82022035,2012-07-21,8944.37,Master's Degree
31031492645,2013-10-18,9154.38,Professional Certification
87032242659,2010-07-01,12374.65,Bachelor's Degree
3100586153,2013-12-17,9940.05,High School Diploma
4060846954,2018-11-16,6376.8,High School Diploma
90021223630,2017-12-19,6831.34,Diploma
46120231557,2012-02-21,10693.4,Certificate Program
9042757457,2017-04-04,7131.54,Certificate Program
8030591859,2018-07-05,6601.06,Postgraduate Diploma
92091191251,2017-02-20,7855.05,Bachelor's Degree
88100827253,2018-01-01,7182.93,Vocational Training
59041795736,2012-04-23,10743.28,High School Diploma
88011838957,2013-07-31,9640.56,Postgraduate Diploma
41040122323,2019-10-08,5910.27,Vocational Training
79103032540,2014-09-12,8988.94,Bachelor's Degree
75011927752,2017-08-03,7409.96,Bachelor's Degree
42031195810,2010-02-27,13273.08,Bachelor's Degree
55031223500,2010-07-29,10136.39,Associate Degree
1102615855,2012-08-31,9958.08,Bachelor's Degree
52100902458,2012-07-20,9644.03,Master's Degree
56041863755,2014-07-06,7809.48,Vocational Training
29041405151,2019-09-15,6285.17,Bachelor's Degree
38032213554,2013-01-02,8964.47,Master's Degree
42101081540,2011-04-22,11115.49,Postgraduate Diploma
81030999759,2010-06-19,12207.74,Associate Degree
72011856356,2011-12-30,8504.67,Certificate Program
92020745225,2018-04-11,6989.01,Certificate Program
58111424217,2012-05-25,11405.41,Bachelor's Degree
46110393805,2015-01-21,7904.31,Bachelor's Degree
27062350144,2012-01-09,9817.43,Bachelor's Degree
87111585053,2016-09-15,7623.52,Bachelor's Degree
48070379604,2013-12-17,9305.96,High School Diploma
74041335658,2010-12-18,12559.59,Doctorate (PhD)
1060477535,2010-03-24,11725.63,Vocational Training
66012294222,2015-07-27,8001.96,Diploma
6012996755,2013-07-22,9221.17,Master's Degree
81052032218,2016-12-10,8001.54,Postgraduate Diploma
76122113827,2012-01-26,8927.3,Master's Degree
29070488206,2017-08-29,7093.95,Postgraduate Diploma
61061928829,2015-04-28,7564.27,Certificate Program
27121262753,2015-03-19,8219.5,Associate Degree
79032408959,2018-09-04,6849.17,High School Diploma
96120742858,2017-05-01,7051.34,Master's Degree
26122796159,2018-04-29,6456.02,Diploma
94051656426,2014-11-11,7416.73,Certificate Program
56031999107,2015-03-30,8126.55,Diploma
50042133051,2013-03-23,9703.12,Bachelor's Degree
78123127537,2018-06-04,6681.57,Vocational Training
48111605507,2016-07-09,7423.57,Associate Degree
36110408030,2015-12-23,8424.25,Master's Degree
61020200632,2010-08-28,10854.74,Bachelor's Degree
26052071814,2016-11-28,7242.09,Master's Degree
86120412224,2013-11-08,10133.97,Bachelor's Degree
42021120424,2018-07-03,6716.84,Diploma
79070508358,2017-05-21,7946.87,Associate Degree
88011400655,2014-06-12,8631.48,Vocational Training
91022859053,2019-06-15,6157.82,Professional Certification
46050591556,2014-03-29,8069.78,Professional Certification
72030493237,2010-05-28,11174.98,Certificate Program
80081510816,2015-03-11,7940.21,High School Diploma
49122913353,2010-10-19,10708.24,Doctorate (PhD)
97091997753,2014-08-21,8851.58,Professional Certification
32031634251,2016-11-05,7359.0,Certificate Program
73100621259,2010-03-04,10590.18,Professional Certification
58081072353,2012-09-10,9727.49,Certificate Program
93012198850,2015-06-06,8332.96,Diploma
68081728956,2018-12-01,6333.81,Certificate Program
30121384253,2012-08-12,11123.46,Doctorate (PhD)
33082237806,2011-03-02,10627.12,Doctorate (PhD)
56121602326,2019-04-01,6576.97,Diploma
43053074424,2015-10-02,7879.78,Postgraduate Diploma
74031225848,2017-01-30,6772.77,Postgraduate Diploma
68121577021,2019-08-02,6256.78,High School Diploma
93032950452,2014-07-13,8677.88,Doctorate (PhD)
10060672222,2012-09-12,9381.78,Professional Certification
51060604905,2018-02-02,6907.33,Certificate Program
73012735334,2011-08-14,8504.76,Postgraduate Diploma
98101134344,2017-09-02,7209.19,Certificate Program
48121923756,2012-02-12,9995.77,Vocational Training
43030769952,2014-12-23,9166.91,Associate Degree
4112445203,2010-04-14,11139.96,Master's Degree
82090462850,2019-04-14,6338.36,Bachelor's Degree
37032131301,2014-09-26,8424.13,Professional Certification
83112468900,2018-02-18,6795.01,Postgraduate Diploma
91020949837,2018-05-10,6701.79,Bachelor's Degree
53032435610,2018-03-04,7266.04,High School Diploma
83032315010,2014-08-20,9304.95,Postgraduate Diploma
66082066044,2016-06-11,8423.27,High School Diploma
55031510444,2015-03-21,8298.56,Associate Degree
5070246936,2013-12-18,8641.63,Certificate Program
61020142257,2014-11-19,8079.15,Diploma
63031302857,2015-06-12,7697.57,High School Diploma
57061362956,2016-04-19,7194.36,Postgraduate Diploma
99050606755,2015-05-14,7707.63,Postgraduate Diploma
60011203421,2019-07-10,6154.25,Professional Certification
55062076100,2017-07-31,7402.67,Vocational Training
38042670244,2016-01-28,8156.93,Master's Degree
43010263720,2014-11-24,7343.69,Diploma
44081326615,2010-04-16,11200.91,Diploma
78082302329,2018-12-25,6402.06,Postgraduate Diploma
8032100127,2018-12-08,6486.39,Professional Certification
73033049203,2018-06-10,7021.33,Vocational Training
68041754629,2016-11-26,7958.9,Bachelor's Degree
86072696059,2017-08-18,7150.45,Professional Certification
39121712602,2010-07-05,10758.47,Certificate Program
63041334729,2014-02-21,8986.66,High School Diploma
34110360459,2013-12-18,8011.08,Professional Certification
102703058,2016-06-27,8179.9,Vocational Training
90101832444,2018-12-02,6456.98,Diploma
40072525106,2014-01-03,9633.46,Certificate Program
93031521402,2016-08-21,7119.74,Associate Degree
84012319354,2014-07-31,10144.78,Bachelor's Degree
10041894917,2015-12-19,7919.11,Associate Degree
42112801559,2018-10-06,6697.29,High School Diploma
35112200916,2013-02-09,9039.52,Professional Certification
91080203331,2017-01-24,7250.59,Associate Degree
72013123155,2011-01-05,10411.39,High School Diploma
34022483659,2012-01-25,9201.17,Master's Degree
57030725458,2016-10-27,7971.24,Vocational Training
46040919304,2018-12-26,6648.19,Vocational Training
33062384858,2018-11-18,6585.03,High School Diploma
66061854457,2013-04-22,8746.83,Bachelor's Degree
83092141321,2011-11-26,11582.72,High School Diploma
75101587044,2013-04-30,8536.77,Associate Degree
85111710958,2016-12-23,7397.64,Master's Degree
43082861114,2010-10-03,11295.32,Diploma
62052896352,2016-11-24,7517.96,Certificate Program
34040651557,2014-10-20,9083.03,Doctorate (PhD)
5021323853,2016-12-01,7433.53,Vocational Training
83090979555,2016-03-15,7404.71,Diploma
10092544458,2019-06-08,6318.31,Doctorate (PhD)
44110993155,2012-04-03,9354.14,Doctorate (PhD)
74072352554,2012-07-21,10156.96,Master's Degree
55082000037,2016-01-21,8325.27,Associate Degree
79072435058,2019-06-09,6288.7,Certificate Program
80102492000,2016-12-22,7273.28,Vocational Training
83121565654,2012-10-18,9127.49,Master's Degree
42111546143,2014-05-20,8420.29,Certificate Program
36041328557,2015-06-10,8325.61,Bachelor's Degree
51011990859,2012-12-27,10073.12,Bachelor's Degree
70021996314,2014-10-24,8381.3,Diploma
72061281537,2018-05-28,7210.66,High School Diploma
77082886455,2010-03-06,12007.86,High School Diploma
4072041853,2011-03-19,10420.02,Vocational Training
55041672107,2013-11-08,9411.99,Certificate Program
76062447853,2019-12-16,6126.66,Postgraduate Diploma
93060770350,2017-07-14,7861.3,Bachelor's Degree
90051859043,2011-12-25,10876.24,Associate Degree
47031808759,2013-03-12,9300.92,Doctorate (PhD)
42030708925,2010-11-15,12197.55,Doctorate (PhD)
2062709457,2012-03-28,9056.28,Professional Certification
24120840528,2015-06-21,8676.48,High School Diploma
2021902550,2015-11-13,8299.36,Postgraduate Diploma
7031950856,2019-05-25,6412.54,Diploma
30011317053,2010-07-15,9988.44,High School Diploma
89120786337,2019-01-28,6483.93,Associate Degree
49122764850,2016-12-31,7613.57,Associate Degree
44061395743,2014-04-02,9345.77,Bachelor's Degree
47010743710,2015-08-30,7790.88,Diploma
5020414910,2018-04-08,7130.11,Diploma
58060168253,2017-09-28,6760.16,Doctorate (PhD)
51060996059,2011-07-02,8310.85,Professional Certification
25120428024,2018-11-11,6357.75,Vocational Training
68030418156,2012-01-21,11434.9,High School Diploma
49013034529,2018-02-15,6691.31,Vocational Training
90111288628,2011-09-18,10665.57,High School Diploma
53021658958,2010-04-17,9080.28,Professional Certification
36021860653,2017-09-02,7102.17,Doctorate (PhD)
40070858330,2011-10-28,9832.82,Postgraduate Diploma
46091539856,2011-02-04,10014.01,Certificate Program
77031701158,2012-12-04,11080.28,Master's Degree
38011934450,2014-09-28,8132.52,Master's Degree
30081375100,2015-03-29,8265.87,Associate Degree
47102290021,2011-03-23,8493.97,Postgraduate Diploma
88061336221,2012-12-13,9051.89,High School Diploma
11675145,2017-03-08,7471.61,Postgraduate Diploma
98050123152,2015-11-15,8851.19,Doctorate (PhD)
74092480444,2019-08-13,6033.73,Bachelor's Degree
75061029510,2016-09-06,7410.88,Diploma
60010494745,2018-07-02,6598.13,Master's Degree
43120807357,2018-02-24,6742.53,Doctorate (PhD)
86042206228,2010-12-27,10284.57,Associate Degree
26093059055,2014-06-13,9285.24,Postgraduate Diploma
82121598154,2010-02-21,11618.7,Bachelor's Degree
35121710619,2014-02-04,9498.04,Master's Degree
86052588257,2010-10-21,9806.42,Doctorate (PhD)
6060327545,2015-05-11,8193.17,Vocational Training
54042320750,2013-09-17,9385.6,Vocational Training
74060825257,2014-05-25,10042.01,Associate Degree
7080524552,2014-09-25,9181.7,High School Diploma
46122491434,2017-06-08,7540.75,Professional Certification
2062033253,2017-09-21,6880.26,Diploma
68063007055,2013-02-11,10102.9,Doctorate (PhD)
41072049252,2013-02-18,9242.93,Associate Degree
8072894541,2015-07-11,8486.59,High School Diploma
63041446424,2012-12-02,8568.32,Bachelor's Degree
52091914731,2016-07-27,7172.32,Certificate Program
50010974356,2014-03-19,9133.32,Master's Degree
40021508352,2013-05-25,8745.5,Vocational Training
66050486559,2014-12-11,9264.03,Associate Degree
82112170358,2012-02-23,11616.3,High School Diploma
85092846152,2014-04-28,8928.22,Vocational Training
71040755904,2015-08-10,9084.09,Bachelor's Degree
98102621052,2015-01-11,8391.24,Doctorate (PhD)
90041595452,2010-04-18,11050.23,Postgraduate Diploma
74060163210,2018-10-09,6703.37,Associate Degree
63051149304,2019-01-10,6275.67,Master's Degree
49032702551,2017-12-31,6924.06,Doctorate (PhD)
71091527853,2013-08-22,7946.63,Vocational Training
59091181947,2017-01-25,7643.84,Professional Certification
62010930551,2012-02-12,11129.83,Bachelor's Degree
7081179034,2012-04-04,9089.23,Vocational Training
91071743251,2016-03-09,8088.06,Diploma
25081697501,2011-01-22,11730.15,Doctorate (PhD)
30071085309,2011-10-13,10251.11,Certificate Program
7062624258,2010-02-22,8966.41,Professional Certification
87102960348,2019-04-11,6236.13,Vocational Training
63041435055,2014-10-13,8844.55,Vocational Training
57010318038,2019-10-30,6209.26,Vocational Training
61091216736,2011-09-28,10543.72,Certificate Program
87070428420,2019-04-20,6310.15,Associate Degree
57012313956,2011-01-05,9282.51,Diploma
86082539713,2015-11-30,7739.52,Postgraduate Diploma
58070577735,2019-05-21,6291.74,Master's Degree
90060832554,2017-01-25,6763.21,Diploma
88033137759,2015-01-09,9549.06,Master's Degree
50121749757,2014-05-30,9968.33,High School Diploma
56091088724,2013-01-11,10723.47,High School Diploma
71092485554,2018-04-08,6972.5,Postgraduate Diploma
63120646758,2016-09-10,7265.01,Postgraduate Diploma
7090571425,2018-08-08,7037.31,Bachelor's Degree
84080903905,2011-02-19,10529.17,Associate Degree
92092688112,2011-11-28,10442.17,High School Diploma
36060332649,2017-03-20,7439.73,Postgraduate Diploma
26122166042,2014-01-08,8009.6,High School Diploma
74052689757,2012-01-19,9912.5,Diploma
89111064956,2012-01-26,10822.09,Postgraduate Diploma
79032367737,2018-07-18,6719.62,High School Diploma
69112223354,2016-08-29,7290.1,High School Diploma
40081078514,2017-07-29,7131.06,Master's Degree
41011785452,2016-05-22,8400.06,High School Diploma
96012038757,2013-10-24,8199.3,Vocational Training
37040717559,2019-08-10,6068.17,Certificate Program
32061107956,2013-02-25,8226.75,Vocational Training
90062704213,2013-08-10,8184.43,High School Diploma
98090464754,2019-08-18,6166.19,Bachelor's Degree
63081972336,2019-03-02,6301.3,Postgraduate Diploma
56041555654,2016-06-03,7858.12,Doctorate (PhD)
61080564549,2015-05-24,8024.52,Diploma
99121438256,2019-05-07,6300.69,Associate Degree
38062410954,2013-07-03,10752.58,High School Diploma
51062319634,2013-12-28,8785.26,Professional Certification
77111565942,2015-08-25,8664.97,High School Diploma
25022319501,2010-12-13,12661.78,Master's Degree
80042953517,2013-05-15,8362.37,Master's Degree
5051596557,2010-10-30,11090.87,Diploma
36072599531,2018-10-17,6746.63,Postgraduate Diploma
2111607433,2017-06-20,7680.23,Bachelor's Degree
25071495610,2010-05-15,11547.52,Certificate Program
63021241157,2019-08-19,6091.79,Diploma
51120229518,2018-06-26,6712.49,Postgraduate Diploma
39020458034,2013-12-25,8973.42,Bachelor's Degree
95060529422,2014-07-16,8054.02,Postgraduate Diploma
95031493556,2013-05-13,10377.61,Master's Degree
58090877950,2012-09-15,11408.06,High School Diploma
53081391057,2016-09-27,8324.86,Master's Degree
53102676457,2011-09-06,10368.78,Bachelor's Degree
4022400754,2014-01-07,9530.15,Master's Degree
2062046051,2013-06-18,10156.17,Doctorate (PhD)
89030609153,2016-10-08,7105.78,Postgraduate Diploma
63120394040,2011-12-12,9762.52,Certificate Program
10040882524,2015-10-25,8804.03,Doctorate (PhD)
46120324059,2018-01-29,6853.1,Postgraduate Diploma
91123074357,2011-09-18,9348.63,Vocational Training
57082819855,2014-11-12,9292.59,Bachelor's Degree
50123126754,2015-01-02,8179.1,Diploma
96062646458,2010-05-28,10118.43,Associate Degree
69042988851,2015-07-11,8543.8,Bachelor's Degree
50101290626,2013-04-19,10529.76,Associate Degree
3040427754,2018-05-27,7077.71,Associate Degree
78101967559,2011-03-06,9381.02,Diploma
90120450856,2014-04-05,9356.91,Bachelor's Degree
77112948755,2014-04-14,10120.12,Associate Degree
7103117457,2010-10-16,8932.93,Vocational Training
62030783557,2017-04-12,7828.11,Master's Degree
92032001250,2017-06-05,6706.46,Vocational Training
36102415754,2018-06-09,7190.89,Doctorate (PhD)
6072703337,2017-12-24,6588.56,High School Diploma
48052252143,2019-05-18,6240.13,Professional Certification
41120351159,2016-01-02,7383.61,Bachelor's Degree
32053148758,2012-12-17,9948.96,Professional Certification
69092446154,2014-08-29,7920.65,Diploma
82110942441,2018-12-01,6441.76,Diploma
7032370507,2018-05-04,6936.63,Master's Degree
91091837350,2016-11-18,7278.33,Certificate Program
37121785411,2013-02-23,9681.35,Postgraduate Diploma
55091408257,2019-03-03,6093.02,Diploma
67121042254,2013-05-08,8459.16,Professional Certification
78090113759,2019-12-31,5947.04,Professional Certification
27092810119,2017-07-20,7251.02,Diploma
64060184744,2010-02-11,11089.56,High School Diploma
39061570551,2012-08-19,9191.62,Master's Degree
97030440157,2011-05-10,9638.21,Master's Degree
97111209839,2013-11-10,9695.45,Vocational Training
61051802850,2014-07-25,7919.43,Certificate Program
7122288558,2014-05-11,8889.58,Vocational Training
44100904851,2019-11-26,6162.38,Diploma
78020231500,2014-11-18,9311.63,Bachelor's Degree
25102574042,2016-05-31,7554.2,Diploma
70022192016,2018-12-29,6399.79,Professional Certification
31082542757,2011-02-17,10920.55,Professional Certification
46081814404,2010-02-07,13142.99,Associate Degree
52040261457,2019-12-11,6008.37,Master's Degree
43010462259,2010-10-10,8683.0,Professional Certification
69033096901,2012-07-22,8752.44,Certificate Program
62081798221,2018-04-13,6914.47,Postgraduate Diploma
73090473630,2016-10-22,7793.18,Master's Degree
69050186252,2018-11-03,6367.8,Doctorate (PhD)
30061443951,2018-05-16,6958.44,Certificate Program
82022357429,2014-04-06,9389.27,Associate Degree
28092449154,2012-10-27,11201.13,Doctorate (PhD)
82110918714,2011-07-30,10128.91,Doctorate (PhD)
78060323708,2012-01-31,10468.23,Vocational Training
49062117857,2016-08-29,7917.67,Professional Certification
75051796127,2016-07-25,7295.29,Diploma
69100193359,2018-06-11,6942.25,Doctorate (PhD)
33020163114,2013-06-15,7991.3,Diploma
36052929642,2019-05-05,6244.6,Certificate Program
61110643552,2016-06-30,8612.02,Bachelor's Degree
35101065601,2016-04-12,8636.74,Bachelor's Degree
73071516615,2010-10-31,11564.07,Certificate Program
52102803139,2017-06-21,7410.76,High School Diploma
38091151356,2013-08-12,9763.79,Postgraduate Diploma
99090666856,2016-05-22,7711.39,Diploma
